EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,URTARRILA 2019 ENERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
16,S,04 53 ,"1,48 ",4,10,17 27 ,"1,49 ",4 10,
17,D,06 15 ,"1,22 ",4,0,18 39 ,"1,21 ",3 11,
18,L,07 18 ,"0,86 ",2,9,19 36 ,"0,87 ",2 10,
19,M,08 10 ,"0,51 ",1,8,20 25 ,"0,55 ",1,9
20,M,08 56 ,"0,23 ",0,9,21 11 ,"0,30 ",0 11,
21,,09 40 ,"0,07 ",0,2,21 54 ,"0,17 ",0,6
22,V,10 23 ,"0,06 ",0,2,22 37 ,"0,17 ",0,6
23,S,11 04 ,"0,20 ",0,7,23 20 ,"0,31 ",1,0
24,D,11 45 ,"0,46 ",1,6,— ,— ,— ,—
25,L,00 03 ,"0,55 ",1,9,12 27 ,"0,79 ",2,7
26,M,00 47 ,"0,87 ",2,10,13 12 ,"1,14 ",3,8
27,M,01 37 ,"1,20 ",3,11,14 03 ,"1,47 ",4,9
28,,02 38 ,"1,50 ",4,11,15 12 ,"1,72 ",5,7
29,V,03 58 ,"1,67 ",5,5,16 39 ,"1,80 ",5 10,
30,S,05 26 ,"1,66 ",5,5,18 01 ,"1,70 ",5,6
31,D,06 36 ,"1,50 ",4,11,18 58 ,"1,50 ",4 11,
EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,,APIRILA 2019 ABRIL,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,L,01 13 ,"3,46 ",11,4,13 45 ,"3,41 ",11,2
2,M,01 54 ,"3,66 ",12,0,14 19 ,"3,61 ",11 10,
3,M,02 28 ,"3,85 ",12,7,14 49 ,"3,79 ",12,5
4,J,03 00 ,"4,01 ",13,1,15 18 ,"3,93 ",12 10,
5,,03 31 ,"4,13 ",13,6,15 46 ,"4,04 ",13,3
6,S,04 01 ,"4,19 ",13,8,16 15 ,"4,10 ",13,5
7,D,04 33 ,"4,20 ",13,9,16 46 ,"4,10 ",13,5
8,L,05 06 ,"4,14 ",13,6,17 18 ,"4,04 ",13,3
9,M,05 41 ,"4,01 ",13,1,17 55 ,"3,92 ",12 10,
10,M,06 22 ,"3,82 ",12,6,18 37 ,"3,75 ",12,3
11,J,07 10 ,"3,60 ",11,9,19 30 ,"3,56 ",11,8
12,,08 15 ,"3,38 ",11,1,20 43 ,"3,40 ",11,1
13,S,09 41 ,"3,26 ",10,8,22 15 ,"3,38 ",11,1
14,D,11 12 ,"3,36 ",11,0,23 40 ,"3,56 ",11,8
15,L,12 25 ,"3,60 ",11,9,— ,— ,— ,—
16,M,00 46 ,"3,85 ",12,7,13 21 ,"3,90 ",12,9
17,M,01 39 ,"4,15 ",13,7,14 09 ,"4,17 ",13,8
18,J,02 27 ,"4,40 ",14,5,14 52 ,"4,37 ",14,4
19,,03 11 ,"4,54 ",14,10,15 33 ,"4,47 ",14,7
20,S,03 53 ,"4,57 ",14,11,16 13 ,"4,47 ",14,7
21,D,04 34 ,"4,46 ",14,7,16 52 ,"4,37 ",14,4
22,L,05 14 ,"4,25 ",13,11,17 31 ,"4,18 ",13,8
23,M,05 54 ,"3,98 ",13,0,18 11 ,"3,95 ",12 11,
24,M,06 36 ,"3,67 ",12,0,18 55 ,"3,68 ",12,0
25,J,07 23 ,"3,37 ",11,0,19 47 ,"3,43 ",11,3
26,,08 23 ,"3,13 ",10,3,20 54 ,"3,24 ",10,7
27,S,09 44 ,"2,99 ",9,9,22 14 ,"3,17 ",10,4
28,D,11 11 ,"3,02 ",9,10,23 29 ,"3,24 ",10,7
29,L,12 15 ,"3,17 ",10,4,— ,— ,— ,—
30,M,00 27 ,"3,40 ",11,1,13 02 ,"3,37 ",11,0
EGUNAK-DÍAS,,ITSASBEHERA-BAJAMARES ,,,,,APIRILA 2019 ABRIL,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,L,07 26 ,"1,29 ",4,2,19 41 ,"1,28 ",4,2
2,M,08 04 ,"1,09 ",3,6,20 17 ,"1,09 ",3,6
3,M,08 37 ,"0,92 ",3,0,20 50 ,"0,92 ",3,0
4,J,09 07 ,"0,78 ",2,6,21 20 ,"0,79 ",2,7
5,,09 37 ,"0,69 ",2,3,21 51 ,"0,70 ",2,3
6,S,10 06 ,"0,65 ",2,1,22 21 ,"0,67 ",2,2
7,D,10 36 ,"0,67 ",2,2,22 54 ,"0,70 ",2,3
8,L,11 09 ,"0,75 ",2,5,23 29 ,"0,79 ",2,7
9,M,11 44 ,"0,88 ",2,10,— ,— ,— ,—
